Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,
Definition,0,file_id,type,1,,time_created,1,,manufacturer,1,,product,1,,product_name,20,,
Data,0,file_id,type,"4",,time_created,"996509912",,manufacturer,"23",,product,"23",,product_name,"Suunto Ambit3 Sport",,
Definition,1,record,timestamp,1,,position_lat,1,,position_long,1,,,,,,,,
Definition,2,record,timestamp,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,3,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,4,record,timestamp,1,,altitude,1,,speed,1,,vertical_speed,1,,,,,,,,,,,
Definition,5,event,event,1,,timestamp,1,,event_type,1,,data,1,,,,,,,,,,,
Definition,6,session,timestamp,1,,start_time,1,,event,1,,event_type,1,,sport,1,,avg_speed,1,,max_speed,1,,total_timer_time,1,,total_elapsed_time,1,,total_distance,1,,max_altitude,1,,min_altitude,1,,total_ascent,1,,total_descent,1,,
Data,1,record,timestamp,"996507356",s,position_lat,"640250619",semicircles,position_long,"-12115429",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507358",s,position_lat,"640249461",semicircles,position_long,"-12114617",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507360",s,position_lat,"640248249",semicircles,position_long,"-12113831",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"996507361",s,position_lat,"640246996",semicircles,position_long,"-12113127",semicircles,distance,"181.0",m,altitude,"8.0",m,speed,"4.88",m/s,vertical_speed,"0.05",m/s,enhanced_altitude,"8.0",m,enhanced_speed,"4.88",m/s,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507363",s,position_lat,"640245553",semicircles,position_long,"-12112376",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507365",s,position_lat,"640244002",semicircles,position_long,"-12111624",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507367",s,position_lat,"640242320",semicircles,position_long,"-12110777",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507369",s,position_lat,"640240494",semicircles,position_long,"-12110145",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507371",s,distance,"256.0",m,altitude,"8.0",m,speed,"7.39",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"8.0",m,enhanced_speed,"7.39",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507372",s,position_lat,"640238597",semicircles,position_long,"-12109679",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
