Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,
Definition,0,file_id,type,1,,time_created,1,,manufacturer,1,,product,1,,product_name,20,,
Data,0,file_id,type,"4",,time_created,"1004259477",,manufacturer,"23",,product,"23",,product_name,"Suunto Ambit3 Sport",,
Definition,1,record,timestamp,1,,position_lat,1,,position_long,1,,,,,,,,
Definition,2,record,timestamp,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,3,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,4,event,event,1,,timestamp,1,,event_type,1,,data,1,,,,,,,,,,,
Definition,5,session,timestamp,1,,start_time,1,,event,1,,event_type,1,,sport,1,,avg_speed,1,,max_speed,1,,total_timer_time,1,,total_elapsed_time,1,,total_distance,1,,max_altitude,1,,min_altitude,1,,total_ascent,1,,total_descent,1,,
Data,2,record,timestamp,"1004253540",s,distance,"267.0",m,altitude,"6.0",m,speed,"6.0",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"6.0",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253550",s,distance,"267.0",m,altitude,"6.0",m,speed,"1.93",m/s,vertical_speed,"-0.05",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"1.93",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253560",s,distance,"267.0",m,altitude,"6.0",m,speed,"0.37",m/s,vertical_speed,"-0.03",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"0.37",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253570",s,distance,"267.0",m,altitude,"5.0",m,speed,"0.64",m/s,vertical_speed,"-0.01",m/s,enhanced_altitude,"5.0",m,enhanced_speed,"0.64",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253573",s,position_lat,"640254013",semicircles,position_long,"-12090539",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253580",s,distance,"277.0",m,altitude,"5.0",m,speed,"0.33",m/s,vertical_speed,"-0.01",m/s,enhanced_altitude,"5.0",m,enhanced_speed,"0.33",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253590",s,distance,"277.0",m,altitude,"5.0",m,speed,"0.31",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"5.0",m,enhanced_speed,"0.31",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253600",s,distance,"277.0",m,altitude,"6.0",m,speed,"0.32",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"0.32",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253604",s,position_lat,"640254039",semicircles,position_long,"-12092395",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253610",s,distance,"287.0",m,altitude,"6.0",m,speed,"0.34",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"0.34",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253620",s,distance,"287.0",m,altitude,"6.0",m,speed,"0.35",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"0.35",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253630",s,distance,"287.0",m,altitude,"5.0",m,speed,"0.35",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"5.0",m,enhanced_speed,"0.35",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253633",s,position_lat,"640254361",semicircles,position_long,"-12094148",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253640",s,distance,"298.0",m,altitude,"6.0",m,speed,"0.36",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"0.36",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253649",s,position_lat,"640254671",semicircles,position_long,"-12096153",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
