Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,Field 35,Value 35,Units 35,Field 36,Value 36,Units 36,Field 37,Value 37,Units 37,Field 38,Value 38,Units 38,Field 39,Value 39,Units 39,Field 40,Value 40,Units 40,Field 41,Value 41,Units 41,Field 42,Value 42,Units 42,Field 43,Value 43,Units 43,Field 44,Value 44,Units 44,Field 45,Value 45,Units 45,Field 46,Value 46,Units 46,Field 47,Value 47,Units 47,Field 48,Value 48,Units 48,Field 49,Value 49,Units 49,Field 50,Value 50,Units 50,Field 51,Value 51,Units 51,Field 52,Value 52,Units 52,Field 53,Value 53,Units 53,Field 54,Value 54,Units 54,Field 55,Value 55,Units 55,Field 56,Value 56,Units 56,Field 57,Value 57,Units 57,Field 58,Value 58,Units 58,Field 59,Value 59,Units 59,Field 60,Value 60,Units 60,Field 61,Value 61,Units 61,Field 62,Value 62,Units 62,Field 63,Value 63,Units 63,Field 64,Value 64,Units 64,Field 65,Value 65,Units 65,Field 66,Value 66,Units 66,Field 67,Value 67,Units 67,Field 68,Value 68,Units 68,Field 69,Value 69,Units 69,Field 70,Value 70,Units 70,Field 71,Value 71,Units 71,Field 72,Value 72,Units 72,Field 73,Value 73,Units 73,Field 74,Value 74,Units 74,Field 75,Value 75,Units 75,Field 76,Value 76,Units 76,Field 77,Value 77,Units 77,Field 78,Value 78,Units 78,Field 79,Value 79,Units 79,Field 80,Value 80,Units 80,Field 81,Value 81,Units 81,Field 82,Value 82,Units 82,
Definition,0,file_id,serial_number,1,,time_created,1,,unknown,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,"3917908387",,time_created,"1017241593",,manufacturer,"1",,garmin_product,"2050",,type,"4",,,,,,,,
Definition,1,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242656",s,position_lat,"598355091",semicircles,position_long,"-59834094",semicircles,distance,"7777.89",m,altitude,"267.4",m,speed,"8.873",m/s,temperature,"24",C,enhanced_altitude,"267.4",m,enhanced_speed,"8.873",m/s,CurrentAltitude,"0.95266724",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242657",s,position_lat,"598354221",semicircles,position_long,"-59833615",semicircles,distance,"7786.49",m,altitude,"267.4",m,speed,"8.967",m/s,temperature,"24",C,enhanced_altitude,"267.4",m,enhanced_speed,"8.967",m/s,CurrentAltitude,"0.98065186",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242658",s,position_lat,"598353265",semicircles,position_long,"-59833183",semicircles,distance,"7795.77",m,altitude,"267.4",m,speed,"9.508",m/s,temperature,"24",C,enhanced_altitude,"267.4",m,enhanced_speed,"9.508",m/s,CurrentAltitude,"0.98999023",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242659",s,position_lat,"598352265",semicircles,position_long,"-59832834",semicircles,distance,"7805.32",m,altitude,"267.4",m,speed,"9.657",m/s,temperature,"24",C,enhanced_altitude,"267.4",m,enhanced_speed,"9.657",m/s,CurrentAltitude,"1.0552979",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242660",s,position_lat,"598351237",semicircles,position_long,"-59832557",semicircles,distance,"7815.05",m,altitude,"267.4",m,speed,"9.667",m/s,temperature,"24",C,enhanced_altitude,"267.4",m,enhanced_speed,"9.667",m/s,CurrentAltitude,"0.9620056",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242661",s,position_lat,"598350183",semicircles,position_long,"-59832288",semicircles,distance,"7825.0",m,altitude,"267.4",m,speed,"9.76",m/s,temperature,"24",C,enhanced_altitude,"267.4",m,enhanced_speed,"9.76",m/s,CurrentAltitude,"0.9620056",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242662",s,position_lat,"598349156",semicircles,position_long,"-59832069",semicircles,distance,"7834.67",m,altitude,"267.20000000000005",m,speed,"9.657",m/s,temperature,"24",C,enhanced_altitude,"267.20000000000005",m,enhanced_speed,"9.657",m/s,CurrentAltitude,"0.9620056",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242663",s,position_lat,"598348116",semicircles,position_long,"-59831871",semicircles,distance,"7844.44",m,altitude,"267.0",m,speed,"9.527",m/s,temperature,"24",C,enhanced_altitude,"267.0",m,enhanced_speed,"9.527",m/s,CurrentAltitude,"0.62609863",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242664",s,position_lat,"598347100",semicircles,position_long,"-59832028",semicircles,distance,"7853.91",m,altitude,"266.79999999999995",m,speed,"9.443",m/s,temperature,"24",C,enhanced_altitude,"266.79999999999995",m,enhanced_speed,"9.443",m/s,CurrentAltitude,"0.62609863",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242665",s,position_lat,"598346187",semicircles,position_long,"-59832614",semicircles,distance,"7863.09",m,altitude,"266.79999999999995",m,speed,"9.032",m/s,temperature,"24",C,enhanced_altitude,"266.79999999999995",m,enhanced_speed,"9.032",m/s,CurrentAltitude,"0.62609863",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242666",s,position_lat,"598345436",semicircles,position_long,"-59833553",semicircles,distance,"7872.05",m,altitude,"267.0",m,speed,"8.808",m/s,temperature,"24",C,enhanced_altitude,"267.0",m,enhanced_speed,"8.808",m/s,CurrentAltitude,"0.62609863",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242667",s,position_lat,"598344920",semicircles,position_long,"-59834662",semicircles,distance,"7880.24",m,altitude,"267.4",m,speed,"7.95",m/s,temperature,"24",C,enhanced_altitude,"267.4",m,enhanced_speed,"7.95",m/s,CurrentAltitude,"0.62609863",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242668",s,position_lat,"598344729",semicircles,position_long,"-59835790",semicircles,distance,"7887.19",m,altitude,"267.4",m,speed,"6.597",m/s,temperature,"24",C,enhanced_altitude,"267.4",m,enhanced_speed,"6.597",m/s,CurrentAltitude,"0.9993286",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242669",s,position_lat,"598344789",semicircles,position_long,"-59836850",semicircles,distance,"7893.55",m,altitude,"267.4",m,speed,"5.916",m/s,temperature,"24",C,enhanced_altitude,"267.4",m,enhanced_speed,"5.916",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242670",s,position_lat,"598344998",semicircles,position_long,"-59837810",semicircles,distance,"7899.62",m,altitude,"267.20000000000005",m,speed,"5.925",m/s,temperature,"24",C,enhanced_altitude,"267.20000000000005",m,enhanced_speed,"5.925",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242671",s,position_lat,"598345335",semicircles,position_long,"-59838694",semicircles,distance,"7905.77",m,altitude,"266.79999999999995",m,speed,"5.944",m/s,temperature,"24",C,enhanced_altitude,"266.79999999999995",m,enhanced_speed,"5.944",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242672",s,position_lat,"598345735",semicircles,position_long,"-59839463",semicircles,distance,"7911.69",m,altitude,"266.4",m,speed,"5.962",m/s,temperature,"24",C,enhanced_altitude,"266.4",m,enhanced_speed,"5.962",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242673",s,position_lat,"598346223",semicircles,position_long,"-59840132",semicircles,distance,"7917.75",m,altitude,"266.0",m,speed,"6.28",m/s,temperature,"24",C,enhanced_altitude,"266.0",m,enhanced_speed,"6.28",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242674",s,position_lat,"598346758",semicircles,position_long,"-59840816",semicircles,distance,"7924.2",m,altitude,"265.6",m,speed,"6.429",m/s,temperature,"24",C,enhanced_altitude,"265.6",m,enhanced_speed,"6.429",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242675",s,position_lat,"598347320",semicircles,position_long,"-59841497",semicircles,distance,"7930.84",m,altitude,"265.4",m,speed,"6.55",m/s,temperature,"24",C,enhanced_altitude,"265.4",m,enhanced_speed,"6.55",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242676",s,position_lat,"598347892",semicircles,position_long,"-59842173",semicircles,distance,"7937.53",m,altitude,"265.20000000000005",m,speed,"6.951",m/s,temperature,"24",C,enhanced_altitude,"265.20000000000005",m,enhanced_speed,"6.951",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242677",s,position_lat,"598348508",semicircles,position_long,"-59842929",semicircles,distance,"7944.85",m,altitude,"265.4",m,speed,"7.138",m/s,temperature,"24",C,enhanced_altitude,"265.4",m,enhanced_speed,"7.138",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242678",s,position_lat,"598349159",semicircles,position_long,"-59843709",semicircles,distance,"7952.51",m,altitude,"265.4",m,speed,"7.465",m/s,temperature,"24",C,enhanced_altitude,"265.4",m,enhanced_speed,"7.465",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242679",s,position_lat,"598349864",semicircles,position_long,"-59844423",semicircles,distance,"7960.34",m,altitude,"265.4",m,speed,"7.651",m/s,temperature,"24",C,enhanced_altitude,"265.4",m,enhanced_speed,"7.651",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242680",s,position_lat,"598350602",semicircles,position_long,"-59845061",semicircles,distance,"7968.22",m,altitude,"265.6",m,speed,"7.688",m/s,temperature,"24",C,enhanced_altitude,"265.6",m,enhanced_speed,"7.688",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242681",s,position_lat,"598351330",semicircles,position_long,"-59845673",semicircles,distance,"7975.94",m,altitude,"265.79999999999995",m,speed,"7.772",m/s,temperature,"24",C,enhanced_altitude,"265.79999999999995",m,enhanced_speed,"7.772",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242682",s,position_lat,"598352122",semicircles,position_long,"-59846244",semicircles,distance,"7984.06",m,altitude,"266.20000000000005",m,speed,"8.267",m/s,temperature,"24",C,enhanced_altitude,"266.20000000000005",m,enhanced_speed,"8.267",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242683",s,position_lat,"598352962",semicircles,position_long,"-59846749",semicircles,distance,"7992.47",m,altitude,"266.6",m,speed,"8.379",m/s,temperature,"24",C,enhanced_altitude,"266.6",m,enhanced_speed,"8.379",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242684",s,position_lat,"598353820",semicircles,position_long,"-59847162",semicircles,distance,"8000.84",m,altitude,"266.6",m,speed,"8.482",m/s,temperature,"24",C,enhanced_altitude,"266.6",m,enhanced_speed,"8.482",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242685",s,position_lat,"598354687",semicircles,position_long,"-59847579",semicircles,distance,"8009.29",m,altitude,"266.6",m,speed,"8.472",m/s,temperature,"24",C,enhanced_altitude,"266.6",m,enhanced_speed,"8.472",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242686",s,position_lat,"598355589",semicircles,position_long,"-59847965",semicircles,distance,"8018.02",m,altitude,"266.79999999999995",m,speed,"8.734",m/s,temperature,"24",C,enhanced_altitude,"266.79999999999995",m,enhanced_speed,"8.734",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242687",s,position_lat,"598356534",semicircles,position_long,"-59848269",semicircles,distance,"8027.01",m,altitude,"267.0",m,speed,"8.818",m/s,temperature,"24",C,enhanced_altitude,"267.0",m,enhanced_speed,"8.818",m/s,CurrentAltitude,"1.04599",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242688",s,position_lat,"598357475",semicircles,position_long,"-59848525",semicircles,distance,"8035.91",m,altitude,"267.0",m,speed,"8.64",m/s,temperature,"24",C,enhanced_altitude,"267.0",m,enhanced_speed,"8.64",m/s,CurrentAltitude,"0.62609863",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242689",s,position_lat,"598358397",semicircles,position_long,"-59848893",semicircles,distance,"8044.77",m,altitude,"267.0",m,speed,"8.659",m/s,temperature,"24",C,enhanced_altitude,"267.0",m,enhanced_speed,"8.659",m/s,CurrentAltitude,"0.65408325",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242690",s,position_lat,"598359271",semicircles,position_long,"-59849351",semicircles,distance,"8053.37",m,altitude,"267.0",m,speed,"8.304",m/s,temperature,"24",C,enhanced_altitude,"267.0",m,enhanced_speed,"8.304",m/s,CurrentAltitude,"0.67276",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,record,timestamp,"1017242691",s,position_lat,"598360116",semicircles,position_long,"-59849836",semicircles,distance,"8061.77",m,altitude,"267.4",m,speed,"8.398",m/s,temperature,"24",C,enhanced_altitude,"267.4",m,enhanced_speed,"8.398",m/s,CurrentAltitude,"0.67276",meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
